country,year,NY.GDP.PCAP.PP.CD
Belize,2018,7291.734632
Benin,2018,3237.773682
Bermuda,2018,83404.2745
Bhutan,2018,11624.92103
Bolivia,2018,8866.378834
Bosnia and Herzegovina,2018,14916.79791
Botswana,2018,18063.76393
Brazil,2018,14951.811
British Virgin Islands,2018,
Brunei Darussalam,2018,61859.97791
Bulgaria,2018,22911.0809
Burkina Faso,2018,2171.973966
Burundi,2018,780.0749372
Cabo Verde,2018,7031.358188
Cambodia,2018,4260.658965
Cameroon,2018,3691.334293
Canada,2018,50075.34418
Cayman Islands,2018,73292.28282
Central African Republic,2018,955.840117
Chad,2018,1614.717823
Channel Islands,2018,
Chile,2018,24797.56665
China,2018,15614.30528
Colombia,2018,14837.90092
Comoros,2018,3141.546075
"Congo, Dem. Rep.",2018,1112.346092
"Congo, Rep.",2018,4002.113076
Costa Rica,2018,20394.22609
Cote d'Ivoire,2018,5156.093849
Croatia,2018,28554.38351
Cuba,2018,
Curacao,2018,25665.23295
Cyprus,2018,39737.32519
Czech Republic,2018,41127.25405
Denmark,2018,57462.77601
Djibouti,2018,5341.103794
Dominica,2018,11818.22608
Dominican Republic,2018,18143.22448
Ecuador,2018,11843.39364
"Egypt, Arab Rep.",2018,11643.2205
El Salvador,2018,8825.451749
Equatorial Guinea,2018,20855.81136
Eritrea,2018,
Estonia,2018,36326.79823
Eswatini,2018,8728.79178
Ethiopia,2018,2154.754605
Faroe Islands,2018,
Fiji,2018,14183.5639
Finland,2018,49748.32655
France,2018,46663.60855
French Polynesia,2018,
Gabon,2018,15103.60903
"Gambia, The",2018,2210.638673
Georgia,2018,14604.38444
Germany,2018,54954.84675
Ghana,2018,5320.975634
Gibraltar,2018,
Greece,2018,30504.40362
Greenland,2018,
Grenada,2018,17210.47906
Guam,2018,
Guatemala,2018,8654.268548
Guinea,2018,2556.773681
Guinea-Bissau,2018,1996.659573
Guyana,2018,12781.57994
Haiti,2018,3065.205078
Honduras,2018,5810.429508
"Hong Kong SAR, China",2018,62551.05859
Hungary,2018,31829.54915
Iceland,2018,57141.92532
India,2018,6655.06986
Indonesia,2018,11648.54267
"Iran, Islamic Rep.",2018,13800.02347
Iraq,2018,10919.77262
Ireland,2018,84145.05693
Isle of Man,2018,
Israel,2018,40357.50742
Italy,2018,43111.36655
Jamaica,2018,9975.199073
Japan,2018,41695.63794
Jordan,2018,10266.917
Kazakhstan,2018,26166.60548
Kenya,2018,4306.206985
Kiribati,2018,2310.664853
"Korea, Dem. People's Rep.",2018,
"Korea, Rep.",2018,42487.04195
Kosovo,2018,11160.69533
Kuwait,2018,51708.25361
Kyrgyz Republic,2018,5258.195592
Lao PDR,2018,7777.781032
Latvia,2018,30799.42842
Lebanon,2018,15992.32109
Lesotho,2018,2815.498324
Liberia,2018,1533.471534
Libya,2018,15383.82758
Liechtenstein,2018,
Lithuania,2018,36346.39753
Luxembourg,2018,116644.8481
"Macao SAR, China",2018,135121.4393
Madagascar,2018,1652.399771
Malawi,2018,1067.92233
Malaysia,2018,28228.95945
Maldives,2018,19253.68849
Mali,2018,2339.341417
Malta,2018,44141.30553
Marshall Islands,2018,3983.327675
Mauritania,2018,5165.256707
Mauritius,2018,22749.12878
Mexico,2018,20257.82513
"Micronesia, Fed. Sts.",2018,3547.975116
Moldova,2018,12664.31333
Monaco,2018,
Mongolia,2018,12205.84304
Montenegro,2018,21547.25877
Morocco,2018,7613.142868
Mozambique,2018,1321.156045
Myanmar,2018,5151.691817
Namibia,2018,10173.91596
Nauru,2018,11750.01169
Nepal,2018,3331.980217
Netherlands,2018,57901.09701
New Caledonia,2018,
New Zealand,2018,43039.71993
Nicaragua,2018,5833.652948
Niger,2018,1230.221762
Nigeria,2018,5280.65226
North Macedonia,2018,16671.67332
Northern Mariana Islands,2018,
Norway,2018,69258.55014
Oman,2018,29289.60764
Pakistan,2018,4855.229666
Palau,2018,18912.53477
Panama,2018,31805.5379
Papua New Guinea,2018,4295.509078
Paraguay,2018,13163.50253
Peru,2018,13093.75526
Philippines,2018,8723.546609
Poland,2018,31978.53115
Portugal,2018,34931.7846
Puerto Rico,2018,34947.17274
Qatar,2018,93186.26081
Romania,2018,29250.95126
Russian Federation,2018,28763.51663
Rwanda,2018,2139.636413
Samoa,2018,6474.2538
San Marino,2018,60886.48586
Sao Tome and Principe,2018,4090.632657
Saudi Arabia,2018,48756.19295
Senegal,2018,3395.533931
Serbia,2018,17735.98592
Seychelles,2018,28678.77243
Sierra Leone,2018,1703.810228
Singapore,2018,100126.0236
Sint Maarten (Dutch part),2018,36203.04099
Slovak Republic,2018,31557.5327
Slovenia,2018,38915.64196
Solomon Islands,2018,2765.502634
Somalia,2018,
South Africa,2018,12935.54516
South Sudan,2018,
Spain,2018,40720.1908
Sri Lanka,2018,13177.9884
St. Kitts and Nevis,2018,26532.46569
St. Lucia,2018,15633.21742
St. Martin (French part),2018,
St. Vincent and the Grenadines,2018,12770.09827
Sudan,2018,4258.775161
Suriname,2018,17039.68568
Sweden,2018,53553.31245
Switzerland,2018,68709.44418
Syrian Arab Republic,2018,
Tajikistan,2018,3313.519458
Tanzania,2018,2651.091047
Thailand,2018,18527.09538
Timor-Leste,2018,3126.014207
Togo,2018,1590.686226
Tonga,2018,6572.705516
Trinidad and Tobago,2018,26912.91695
Tunisia,2018,11025.99161
Turkey,2018,27949.86895
Turkmenistan,2018,15206.96193
Turks and Caicos Islands,2018,28848.42037
Tuvalu,2018,4043.767757
Uganda,2018,2173.958819
Ukraine,2018,12629.14166
United Arab Emirates,2018,68599.61818
United Kingdom,2018,47201.17913
United States,2018,62996.47129
Uruguay,2018,22116.7866
Uzbekistan,2018,6920.044618
Vanuatu,2018,3204.679541
"Venezuela, RB",2018,
Vietnam,2018,7771.18942
Virgin Islands (U.S.),2018,
West Bank and Gaza,2018,6472.121785
"Yemen, Rep.",2018,
Zambia,2018,3607.304442
Zimbabwe,2018,3206.277079
